UUID,DayOfWeek,FlightDate,UniqueCarrier,Origin,OriginCityName,OriginState,Dest,DestState,DepTime,DepDelay,ArrTime,ArrDelay,Cancelled,ActualElapsedTime,Distance
D146DF18-E0CF-4065-B995-9A6EA2865254,3,2016/02/03,AA,DFW,"Dallas/Fort Worth, TX",TX,DTW,MI,1146,46.0,1459,21.0,0.0,133.0,986.0
F8D5CA50-E187-4D2C-BC87-04635A0D8BAB,4,2016/02/04,AA,DFW,"Dallas/Fort Worth, TX",TX,DTW,MI,1101,1.0,1423,-15.0,0.0,142.0,986.0
44ADD06A-90E2-4DAF-9AF5-CC2EAD69BC0F,5,2016/02/05,AA,DFW,"Dallas/Fort Worth, TX",TX,DTW,MI,1057,-3.0,1421,-17.0,0.0,144.0,986.0
15500B3A-5175-44CC-AEE6-D6B8F531016E,6,2016/02/06,AA,DFW,"Dallas/Fort Worth, TX",TX,DTW,MI,1055,-5.0,1442,4.0,0.0,167.0,986.0
FBFB517F-1972-4D95-A54F-A4DEFD8C7E1F,7,2016/02/07,AA,DFW,"Dallas/Fort Worth, TX",TX,DTW,MI,1057,-3.0,1432,-6.0,0.0,155.0,986.0
FFCCD0D6-8C73-49AD-A009-7718C26F4732,1,2016/02/08,AA,DFW,"Dallas/Fort Worth, TX",TX,DTW,MI,1124,24.0,1456,18.0,0.0,152.0,986.0
A06A0E0C-CC9A-4CD8-8B10-EA34E76578E7,2,2016/02/09,AA,DFW,"Dallas/Fort Worth, TX",TX,DTW,MI,1056,-4.0,1439,1.0,0.0,163.0,986.0
D26307E8-07A9-4704-A372-2AA5E828DA26,3,2016/02/10,AA,DFW,"Dallas/Fort Worth, TX",TX,DTW,MI,1058,-2.0,1449,11.0,0.0,171.0,986.0
AC6933AB-653E-4BEF-B33A-B5C1DC9B93E8,4,2016/02/11,AA,DFW,"Dallas/Fort Worth, TX",TX,DTW,MI,1058,-7.0,1453,10.0,0.0,175.0,986.0
83556F89-21D7-44A0-8C55-A304D279CF5B,5,2016/02/12,AA,DFW,"Dallas/Fort Worth, TX",TX,DTW,MI,1138,33.0,1519,36.0,0.0,161.0,986.0
